t0,t1,active_cells,dU_active_J,E_in_J,De_interval_active
0.0125,0.05,498,14.6355629946624,38.98233086278188,0.37544094133774863
0.05,0.1,748,8.0142731606016,57.38944468681734,0.13964716341718708
0.1,0.15,759,1.349969629248,63.75552124956849,0.021174160336068726
0.15,0.2,739,8.019209390976002,64.0929787696629,0.12511837559922756
